Дата,Название,Ссылка,Краткое содержание
2022-06-28,"Апериодическая решётка Яндекс Станции 2: история, 3D-модели и акустические эксперименты",https://habr.com/ru/company/yandex/blog/673192/,"«Не бывает неинтересных задач, бывают неинтересные исследователи».
— Александр Михайлович Гуськов, профессор МГТУ им. Н. Э. Баумана

Привет, меня зовут Григорий Анненков, я тот, кто предложил и внед"
2022-06-23,Яндекс выложил YaLM 100B — сейчас это крупнейшая GPT-подобная нейросеть в свободном доступе. Вот как удалось её обучить,https://habr.com/ru/company/yandex/blog/672396/,"Больше примеров — в конце поста

В последние годы большие языковые модели на архитектуре трансформеров стали вершиной развития нейросетей в задачах NLP. С каждым месяцем они становятся всё больше и с"
2022-06-16,Как Яндекс Карты с помощью отзывов улучшают поиск организаций,https://habr.com/ru/company/yandex/blog/671504/,"Раньше Карты, Поиск и Алиса отвечали на запросы об организациях, во многом основываясь на данных от самих организаций. Это был нормальный компромисс, но всегда можно сделать лучше. 

Теперь учитывают"
2022-06-15,Рефакторинг приложения с десятилетним легаси за три месяца. Опыт Яндекс Музыки,https://habr.com/ru/company/yandex/blog/671236/,"Однажды ты просыпаешься и понимаешь: избыточность компонентов и рассинхронизация в твоём приложении начинают вредить пользователям. Однажды ты смотришь на написанное давным-давно ядро, плачешь горьким"
2022-06-07,Yandex Planner. Как планировать вычислительные мощности,https://habr.com/ru/company/yandex/blog/564510/,"Серверные вычислительные ресурсы распределяются между большинством сервисов Яндекса централизованно. Тем самым все команды — и существующие давно, и собранные вокруг небольших экспериментов — получают"
2022-06-02,"Память в браузерах и в Node.js: ограничения, утечки и нестандартные оптимизации",https://habr.com/ru/company/yandex/blog/666870/,"Интро: почему я написал эту статью
Меня зовут Виктор, я разрабатываю страницу результатов поиска Яндекса. Несмотря на внешнюю простоту, поисковая выдача — сложная штука: на каждый запрос генерируется "
2022-05-31,Станция 2. Истории разработки одного из самых сложных устройств Яндекса,https://habr.com/ru/company/yandex/blog/668660/,"Сегодня стартуют продажи Яндекс Станции 2 — нашего новейшего устройства, которое станет центральным элементом в умном доме с Алисой. Мы полностью переосмыслили и внутренний, и внешний дизайн, добавили"
2022-05-23,Про поддержку Certificate Transparency для национальных сертификатов,https://habr.com/ru/company/yandex/blog/667300/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2022-05-18,Находим главное в отзывах. Опыт разработчиков геопоиска Яндекса,https://habr.com/ru/company/yandex/blog/665132/,"Существует классический способ выбрать, в какое кафе сходить или в какую организацию обратиться: достаточно почитать отзывы (которые, конечно, должны быть защищены от ботов). И такой способ правда поп"
2022-04-26,"Гайд по написанию и рефакторингу компонентов, которые хочется переиспользовать",https://habr.com/ru/company/yandex/blog/662826/,"Случалось ли вам, выполняя какую-то задачу, понять, что самый простой путь — нажать Сtrl+C, Сtrl+V: перетащить из соседней папочки пару файлов, поменять пару строчек, и будет ок? Повторялось ли это ощ"
2022-04-21,Почему GPU обманывают о своей нагрузке и как с этим бороться,https://habr.com/ru/company/yandex/blog/661989/,"В предыдущем посте я рассказывал о том, как мы строили свои суперкомпьютеры. В этом — поделюсь опытом, который мы накопили, эксплуатируя наши кластеры. Этот опыт будет полезен не только тем, кто обуча"
2022-04-19,Яндекс выложил в опенсорс YDB,https://habr.com/ru/company/yandex/blog/660271/,"Сегодня мы выложили в опенсорс систему управления базами данных YDB — плод многолетнего опыта Яндекса в разработке систем хранения и обработки данных. Исходный код, документация, SDK и все инструменты"
2022-04-14,"Как мы учимся адаптировать Яндекс Go для незрячих пользователей: ожидания, суровая реальность, чек-лист разработчика",https://habr.com/ru/company/yandex/blog/660663/,"Может показаться, что работа над доступностью приложения для незрячих пользователей заключается лишь в том, чтобы подписать все элементы интерфейса для скринридера. Мы тоже так раньше думали. Реальнос"
2022-03-30,Эволюция перевода видео в Яндекс Браузере: от новых языков до интерактивных субтитров,https://habr.com/ru/company/yandex/blog/658121/,"В сентябре мы рассказывали Хабру о том, как наша команда помогает преодолевать языковой барьер с помощью перевода видео. Эта функция позволяет автоматически переводить видео так, чтобы зритель сразу с"
2022-03-11,Про поддержку сайтов с национальными сертификатами в Яндекс Браузере,https://habr.com/ru/company/yandex/blog/655185/,"Очень много вопросов по этой теме. Оно и понятно: информации мало, противоречивых интерпретаций много. Для нас тема защиты соединений с сайтами близка. Мы пишем на Хабре об этом уже лет восемь. Наприм"
2022-02-16,Что считать счастьем покупателя?,https://habr.com/ru/company/yandex/blog/651751/,"По запросу [форма] мы должны угадать, что именно нужно покупателю: выпечка, наращивание ногтей, косплеить медсестру или калибратор кубов бетона. Задача — быстро понять, кто перед нами и что сделает че"
2022-02-09,С++23 — итоги февральской встречи международного комитета,https://habr.com/ru/company/yandex/blog/649497/,"Без лишних слов, прямо к делу — вот какие новые вкусности будут нас ждать в C++23:


std::expected — новый механизм сообщения об ошибках без использования исключений и без недостатков кодов возврата.
"
